"filename", "language", "Python", "CSS", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\ezAdmin\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\ezAdmin\settings.py", "Python", 88, 0, 0, 0, 0, 0, 27, 46, 161
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\ezAdmin\urls.py", "Python", 10, 0, 0, 0, 0, 0, 16, 2, 28
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\ezAdmin\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\static\css\style.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\forms.py", "Python", 39, 0, 0, 0, 0, 0, 3, 17, 59
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\models.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\task\templatetags\custom_filters.py", "Python", 8, 0, 0, 0, 0, 0, 0, 2, 10
